世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,0,32,0
33,0,33,0
34,0,34,0
35,0,35,0
36,0,36,0
37,0,37,0
38,0,38,0
39,0,39,0
40,0,40,0
41,0,41,0
42,0,42,0
43,0,43,0
44,0,44,0
45,0,45,0
46,0,46,0
47,0,47,0
48,0,48,0
49,0,49,0
50,0,50,0
51,0,51,0
52,0,52,0
53,0,53,0
54,0,54,0
55,0,55,0
56,0,56,0
57,0,57,0
58,0,58,0
59,0,59,0
60,0,60,0
61,0,61,0
62,14524632846,62,1452463
63,16378296857,63,248628415
64,17647692326,64,13402671153
65,18848216304,65,13309686369
66,19859437333,66,14797985744
67,20840930390,67,15296554839
68,21525121149,68,16695728918
69,22319194361,69,17426644445
70,23167160482,70,21357707521
71,23890492368,71,20084786952
72,24381660537,72,21782362668
73,24533805059,73,21135604187
74,24533805059,74,22484329481
75,24533805059,75,23771280760
76,24533805059,76,23832661912
77,24533805059,77,23819332919
78,24533805059,78,23825233807
79,24533805059,79,23734831036
80,24533805059,80,23773383874
81,24533805059,81,23791572034
82,24533805059,82,23818876067
83,24533805059,83,23790441888
84,24533805059,84,23850739551
85,24533805059,85,23790821299
86,24533805059,86,23791774005
87,24533805059,87,23897728003
88,24533805059,88,23829396536
89,24533805059,89,23861544741
90,24533805059,90,23810235293
91,24533805059,91,23775866430
92,24533805059,92,23752433939
93,24533805059,93,23808916329
94,24533805059,94,23749528286
95,24533805059,95,23659886102
96,24533805059,96,23848544875
97,24533805059,97,23724140650
98,24533805059,98,23711183161
99,24533805059,99,23784425891
100,24533805059,100,23760766259
101,24533805059,101,23810215055
102,24533805059,102,23798984038
103,24533805059,103,23800816410
104,24533805059,104,23708550173
105,24533805059,105,23849274183
106,24533805059,106,23705173534
107,24533805059,107,23799401636
108,24533805059,108,23719712793
109,24533805059,109,23764067462
110,24533805059,110,23815218482
111,24533805059,111,23896016391
112,24533805059,112,23753887101
113,24533805059,113,23812299588
114,24533805059,114,23780508585
115,24533805059,115,23834432379
116,24533805059,116,23756444685
117,24533805059,117,23777498119
118,24533805059,118,23775234586
119,24533805059,119,23815762608
120,24533805059,120,23812171161
121,24533805059,121,23797514340
122,24533805059,122,23830304001
123,24533805059,123,23709962194
124,24533805059,124,23802542600
125,24533805059,125,23834195331
126,24533805059,126,23746942569
127,24533805059,127,23843211315
128,24533805059,128,23744016945
129,24533805059,129,23820895431
130,24533805059,130,23788590741
131,24533805059,131,23702244121
132,24533805059,132,23820837267
133,24533805059,133,23787528344
134,24533805059,134,23741966038
135,24533805059,135,23812930525
136,24533805059,136,23860307305
137,24533805059,137,23770289632
138,24533805059,138,23788417734
139,24533805059,139,23870887642
140,24533805059,140,23769339840
141,24533805059,141,23806199849
142,24533805059,142,23782957615
143,24533805059,143,23829515711
144,24533805059,144,23767676867
145,24533805059,145,23756601511
146,24533805059,146,23785841570
147,24533805059,147,23859115646
148,24533805059,148,23808468127
149,24533805059,149,23794938832
150,24533805059,150,23817804939
151,24533805059,151,23827604970
152,24533805059,152,23820806843
153,24533805059,153,23878616610
154,24533805059,154,23800766593
155,24533805059,155,23737411913
156,24533805059,156,23754183846
157,24533805059,157,23808945129
158,24533805059,158,23817738597
159,24533805059,159,23820092084
160,24533805059,160,23783576073
161,24533805059,161,23764143155
162,24533805059,162,23846881547
163,24533805059,163,23814230050
164,24533805059,164,23827806028
165,24533805059,165,23763938651
166,24533805059,166,23733570056
167,24533805059,167,23709525907
168,24533805059,168,23844955985
169,24533805059,169,23757065804
170,24533805059,170,23748876030
171,24533805059,171,23783362803
172,24533805059,172,23747639701
173,24533805059,173,23751167843
174,24533805059,174,23848849950
175,24533805059,175,23806271358
176,24533805059,176,23726969476
177,24533805059,177,23785696268
178,24533805059,178,23770266670
179,24533805059,179,23770274271
180,24533805059,180,23837874857
181,24533805059,181,23855135710
182,24533805059,182,23747152144
183,24533805059,183,23813213086
184,24533805059,184,23785001454
185,24533805059,185,23680271276
186,24533805059,186,23729407852
187,24533805059,187,23795450200
188,24533805059,188,23799346990
189,24533805059,189,23807059938
190,24533805059,190,23805847692
191,24533805059,191,23759830411
192,24533805059,192,23844099212
193,24533805059,193,23780926249
194,24533805059,194,23817761286
195,24533805059,195,23818175809
196,24533805059,196,23777787890
197,24533805059,197,23773571024
198,24533805059,198,23801090241
199,24533805059,199,23875084184
200,24533805059,200,23819291592
201,24533805059,201,23854630101
202,24533805059,202,23814872855
203,24533805059,203,23807348364
204,24533805059,204,23748844258
205,24533805059,205,23836836966
206,24533805059,206,23818630658
207,24533805059,207,23831567547
208,24533805059,208,23791488591
209,24533805059,209,23811004502
210,24533805059,210,23799988597
211,24533805059,211,23771320145
212,24533805059,212,23708684515
213,24533805059,213,23771255531
214,24533805059,214,23809926174
215,24533805059,215,23777936192
216,24533805059,216,23852690245
217,24533805059,217,23871365136
218,24533805059,218,23793083136
219,24533805059,219,23780866975
220,24533805059,220,23788342568
221,24533805059,221,23806732358
222,24533805059,222,23772618417
223,24533805059,223,23760347699
224,24533805059,224,23758361189
225,24533805059,225,23777193486
226,24533805059,226,23781480410
227,24533805059,227,23766706435
228,24533805059,228,23808121650
229,24533805059,229,23775640547
230,24533805059,230,23769844158
231,24533805059,231,23831493050
232,24533805059,232,23762718147
233,24533805059,233,23763406041
234,24533805059,234,23799093974
235,24533805059,235,23765791942
236,24533805059,236,23826849530
237,24533805059,237,23820160021
238,24533805059,238,23824417595
239,24533805059,239,23770262359
240,24533805059,240,23826888526
241,24533805059,241,23734678734
242,24533805059,242,23838504952
243,24533805059,243,23795100977
244,24533805059,244,23743617941
245,24533805059,245,23770533162
246,24533805059,246,23784936197
247,24533805059,247,23806396989
248,24533805059,248,23754427707
249,24533805059,249,23768406441
250,24533805059,250,23765692678
251,24533805059,251,23770142088
252,24533805059,252,23800652451
253,24533805059,253,23769282858
254,24533805059,254,23808265178
255,24533805059,255,23846083735
256,24533805059,256,23835804567
257,24533805059,257,23869733477
258,24533805059,258,23841130845
259,24533805059,259,23815818279
260,24533805059,260,23753110799
261,24533805059,261,23828107484
262,24533805059,262,23779981324
263,24533805059,263,23812329671
264,24533805059,264,23852472159
265,24533805059,265,23812881218
266,24533805059,266,23768458746
267,24533805059,267,23832713187
268,24533805059,268,23812606158
269,24533805059,269,23836870299
270,24533805059,270,23796287256
271,24533805059,271,23715132610
272,24533805059,272,23738391205
273,24533805059,273,23851454844
274,24533805059,274,23806287976
275,24533805059,275,23759015560
276,24533805059,276,23827629164
277,24533805059,277,23796497878
278,24533805059,278,23762189977
279,24533805059,279,23781211588
280,24533805059,280,23803296167
281,24533805059,281,23809812385
