世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,16628024138,11,6651209
12,16628024138,12,16078356733
13,16628024138,13,16038943084
14,16992544320,14,16036177042
15,16992544320,15,16030813679
16,16992544320,16,16004461671
17,16992544320,17,15996989408
18,16992544320,18,15993278166
19,16992544320,19,16052870021
20,17325440827,20,16008217988
21,17325440827,21,16044263676
22,17325440827,22,16005145400
23,17325440827,23,15965637524
24,17325440827,24,15996182531
25,17325440827,25,15984900610
26,17325440827,26,16018622249
27,17463147124,27,15982867732
28,17463147124,28,15965206701
29,17463147124,29,15936733874
30,17463147124,30,15916668358
31,17463147124,31,15980774411
32,17463147124,32,15954277278
33,17463147124,33,16030486397
34,17463147124,34,15948429131
35,17463147124,35,15971039637
36,17463147124,36,15994764646
37,17521672742,37,15959488584
38,17521672742,38,15951625792
39,17721994897,39,15927029977
40,17721994897,40,15953336755
41,17721994897,41,15994442046
42,17721994897,42,15969811534
43,17721994897,43,15961562056
44,17721994897,44,16003309637
45,17903656473,45,15980096068
46,17903656473,46,15965620449
47,17903656473,47,15901726529
48,17903656473,48,15963712793
49,18271845892,49,15917429271
50,18271845892,50,15925765562
51,18271845892,51,15920681750
52,18271845892,52,15958360584
53,18271845892,53,15978397006
54,18271845892,54,15932017740
55,18271845892,55,15961921050
56,18271845892,56,15934600818
57,18271845892,57,15936629802
58,18271845892,58,15909277703
59,18271845892,59,15937684608
60,18271845892,60,15946514470
61,18271845892,61,15958367605
62,18271845892,62,15934543124
63,18271845892,63,15959819069
64,18271845892,64,15959443818
65,18640087430,65,15963619620
66,18640087430,66,15975597163
67,18640087430,67,15929282018
68,18640087430,68,15969761062
69,18640087430,69,15945556080
70,18640087430,70,15983545259
71,18640087430,71,15931605446
72,18737188702,72,15971881838
73,18737188702,73,16002075639
74,18834851333,74,15982275029
75,18834851333,75,15968982642
76,18834851333,76,15979029559
77,18834851333,77,16062056184
78,18834851333,78,16030126502
79,18834851333,79,16037977892
80,18834851333,80,16032218202
81,18834851333,81,16028222967
82,18834851333,82,16035252718
83,18834851333,83,16080953410
84,18834851333,84,16071101093
85,18834851333,85,16073279377
86,19404862873,86,16120309223
87,19404862873,87,16098986283
88,19404862873,88,16105369299
89,19404862873,89,16112569437
90,19404862873,90,16194596390
91,19404862873,91,16099932097
92,19404862873,92,16143130985
93,19404862873,93,16219483392
94,19404862873,94,16159260383
95,19404862873,95,16234726514
96,19404862873,96,16313150667
97,19404862873,97,16316348614
98,19404862873,98,16357653753
99,19404862873,99,16328800605
100,19404862873,100,16390626338
101,19404862873,101,16387927784
102,19404862873,102,16370223350
103,19404862873,103,16443881378
104,19404862873,104,16433516940
105,19404862873,105,16461382730
106,19586480551,106,16522910610
107,19586480551,107,16535912073
108,19586480551,108,16562331748
109,19586480551,109,16570178041
110,19586480551,110,16677996380
111,19586480551,111,16675644870
112,19586480551,112,16742258905
113,20342587243,113,16701550355
114,20342587243,114,16795417618
115,20342587243,115,16858204148
116,20342587243,116,16875692364
117,20342587243,117,16867389526
118,20342587243,118,16938044173
119,20342587243,119,17042931442
120,20342587243,120,16982024439
121,20342587243,121,16985749144
122,20342587243,122,17109951755
123,20342587243,123,17163381253
124,20342587243,124,17176395328
125,20342587243,125,17216357334
126,20342587243,126,17224185678
127,20342587243,127,17253560200
128,20478253553,128,17336558037
129,20478253553,129,17343906447
130,20478253553,130,17379095761
131,20784298165,131,17421446900
132,20784298165,132,17443810412
133,20784298165,133,17425999713
134,20784298165,134,17584256556
135,20784298165,135,17562255662
136,20784298165,136,17551815213
137,20784298165,137,17707793380
138,20784298165,138,17670553547
139,20784298165,139,17689053370
140,20784298165,140,17752445941
141,20838261966,141,17767313348
142,20838261966,142,17795091988
143,20838261966,143,17820836525
144,20973504877,144,17864912695
145,20973504877,145,17943549738
146,20973504877,146,17945298383
147,20973504877,147,17986889127
148,20973504877,148,17993765048
149,21491052285,149,18042816205
150,21491052285,150,18058413913
151,21491052285,151,18128855334
152,21491052285,152,18188358466
153,21491052285,153,18254527297
154,21491052285,154,18301674487
155,21491052285,155,18333593062
156,21491052285,156,18338179419
157,21491052285,157,18387948137
158,21491052285,158,18435103583
159,21491052285,159,18468522888
160,21859293823,160,18480705912
161,21859293823,161,18587380289
162,21859293823,162,18546337764
163,21932763207,163,18585512915
164,21932763207,164,18654284084
165,21932763207,165,18664715397
166,21932763207,166,18823393859
167,21932763207,167,18800475890
168,21932763207,168,18826043403
169,21932763207,169,18914166497
170,21932763207,170,18857952730
171,21932763207,171,18982973080
172,21932763207,172,18976702222
173,22131950118,173,19044806897
174,22131950118,174,19047190215
175,22131950118,175,19058673411
176,22131950118,176,19067136011
177,22131950118,177,19156455191
178,22131950118,178,19235470299
179,22149585341,179,19222075307
180,22149585341,180,19281121356
181,22149585341,181,19206100325
182,22149585341,182,19258773517
183,22149585341,183,19319779406
184,22469346280,184,19307905311
185,22469346280,185,19360192797
186,22469346280,186,19457002290
187,22469346280,187,19471883765
188,22469346280,188,19498624411
189,22469346280,189,19530033379
190,22469346280,190,19548669734
191,22469346280,191,19560458217
192,22469346280,192,19602942479
193,22469346280,193,19651053962
194,22469346280,194,19658212412
195,22469346280,195,19656201701
196,22686168414,196,19686147143
197,22686168414,197,19675391723
198,22686168414,198,19677984224
199,22686168414,199,19773918865
200,22686168414,200,19788066738
201,22686168414,201,19791867711
202,22686168414,202,19760033103
203,22686168414,203,19831771345
204,22686168414,204,19825519035
205,22686168414,205,19874394425
206,22686168414,206,19832383561
207,22686168414,207,19838347061
208,22686168414,208,19929982528
209,22686168414,209,19985574719
210,22783269686,210,19975293268
211,22783269686,211,19978429826
212,22783269686,212,19978929856
213,22783269686,213,20036274560
214,22783269686,214,19992940201
215,22783269686,215,20080397453
216,22911057202,216,20041436736
217,22911057202,217,20106896895
218,22911057202,218,20147755351
219,22911057202,219,20171511141
220,22911057202,220,20184342235
221,22911057202,221,20231226920
222,22911057202,222,20203120392
223,22911057202,223,20255002319
224,22911057202,224,20241788329
225,22911057202,225,20223130905
226,22911057202,226,20288131939
227,22911057202,227,20256035811
228,22911057202,228,20380866532
229,22911057202,229,20404875319
230,22948617164,230,20376538212
231,22948617164,231,20348193212
232,22948617164,232,20365104801
233,22948617164,233,20420779740
234,22948617164,234,20471865582
235,22948617164,235,20466949490
236,22948617164,236,20529901241
237,22948617164,237,20554588012
238,22948617164,238,20528216390
239,22948617164,239,20525909755
240,22948617164,240,20577357116
241,22948617164,241,20627213105
242,22948617164,242,20711838488
243,22948617164,243,20686727532
244,22948617164,244,20687009436
245,22948617164,245,20644872015
246,22948617164,246,20665954664
247,22948617164,247,20709320012
248,22948617164,248,20664317933
249,22948617164,249,20755028982
250,23003835580,250,20754237395
251,23003835580,251,20867151003
252,23003835580,252,20804254294
253,23066187081,253,20841042550
254,23066187081,254,20888358415
255,23066187081,255,20843015920
256,23066187081,256,20935931050
257,23074607297,257,21001887733
258,23390328086,258,20928791149
259,23390328086,259,21032160414
260,23390328086,260,20940134338
