世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,0,32,0
33,0,33,0
34,0,34,0
35,0,35,0
36,0,36,0
37,0,37,0
38,0,38,0
39,0,39,0
40,0,40,0
41,0,41,0
42,0,42,0
43,0,43,0
44,0,44,0
45,0,45,0
46,0,46,0
47,0,47,0
48,0,48,0
49,0,49,0
50,14517746463,50,2892763
51,14968905677,51,30345848
52,15461494539,52,252551852
53,15948492408,53,2123794458
54,16556323075,54,10693430927
55,16840265410,55,13618784583
56,16887813918,56,13854172671
57,17496378679,57,14300150672
58,17905301935,58,14440695668
59,18005291510,59,14707526641
60,18305039194,60,14982611509
61,19226196806,61,15326437039
62,19226196806,62,15595548724
63,19281869461,63,15836416701
64,19914857993,64,16369834221
65,20005303890,65,16810088015
66,20320698047,66,17009743774
67,20380200803,67,17388129867
68,20464174892,68,17389705013
69,20932870566,69,17454746378
70,21116965211,70,17552876518
71,21374581488,71,17915810188
72,21420720424,72,18151890797
73,21453027107,73,18250375513
74,21742823026,74,18399028650
75,21742823026,75,18565432402
76,21742823026,76,18697167668
77,21839924298,77,18860877104
78,21839924298,78,18992732116
79,21839924298,79,18905688647
80,21839924298,80,19083214446
81,21839924298,81,18949979884
82,21839924298,82,18896203030
83,21839924298,83,19106957168
84,21839924298,84,19135894581
85,21839924298,85,19033804335
86,21839924298,86,18971995996
87,21839924298,87,19057576903
88,21839924298,88,19195637507
89,21839924298,89,19125866665
90,21839924298,90,19044745835
91,21839924298,91,19125809143
92,21839924298,92,19122680475
93,21839924298,93,19058505684
94,21839924298,94,18997192205
95,21839924298,95,19007212975
96,21839924298,96,18935187751
97,21839924298,97,19059264632
98,21839924298,98,19153755247
99,21839924298,99,19061719698
100,21839924298,100,19188101922
101,21839924298,101,19166024427
102,21839924298,102,19180888394
103,21839924298,103,19103976942
104,21839924298,104,19045969071
105,21839924298,105,19122676902
106,21839924298,106,19222749052
107,21839924298,107,19094733835
108,21839924298,108,19059899898
109,21839924298,109,18905337981
110,21839924298,110,19018600079
111,21839924298,111,19057147061
112,21839924298,112,19048884484
113,21839924298,113,18979580802
114,21839924298,114,19095521635
115,21839924298,115,19063115489
116,21839924298,116,19098289192
117,21839924298,117,19135573820
118,21839924298,118,19090690718
119,21839924298,119,19092168942
120,21839924298,120,19025562869
121,21839924298,121,19005306861
122,21839924298,122,18988216807
123,21839924298,123,19039532287
124,21839924298,124,19220467760
125,21839924298,125,19196567274
126,21839924298,126,19123480457
127,21839924298,127,19080991967
128,21839924298,128,19026853095
129,21839924298,129,19162405104
130,21839924298,130,19021330525
131,21839924298,131,18926569730
132,21839924298,132,19124046860
133,21839924298,133,19088157577
134,21839924298,134,19158130048
135,21839924298,135,19027237349
136,21839924298,136,18981143059
137,21839924298,137,18967740666
138,21839924298,138,19100838154
139,21839924298,139,18979547784
140,21839924298,140,19056967012
141,21839924298,141,19022669185
142,21839924298,142,19219920790
143,21839924298,143,18979718885
144,21839924298,144,18970359542
145,21839924298,145,18962893488
146,21839924298,146,19059943435
147,21839924298,147,19058229262
148,21839924298,148,18999016720
149,21839924298,149,18965675801
150,21839924298,150,19055897411
151,21839924298,151,19168671746
152,21839924298,152,19101873470
153,21839924298,153,19126447093
154,21839924298,154,19146548802
155,21839924298,155,19152600496
156,21839924298,156,18989735580
157,21839924298,157,19130739368
158,21839924298,158,19141773119
159,21839924298,159,18997130406
160,21839924298,160,18999149983
161,21839924298,161,19089078701
162,21839924298,162,19086578230
163,21839924298,163,19012234511
164,21839924298,164,19025243990
165,21839924298,165,19110284111
166,21839924298,166,19025178362
167,21839924298,167,19155566443
168,21839924298,168,19067963949
169,21839924298,169,19110235087
170,21839924298,170,18893269359
171,21839924298,171,19008273712
172,21839924298,172,18947989624
173,21839924298,173,19098817399
174,21839924298,174,19077284975
175,21839924298,175,19132400283
176,21839924298,176,19037745995
177,21839924298,177,19144026313
178,21839924298,178,19017716427
179,21839924298,179,19080515121
180,21839924298,180,19143288074
181,21839924298,181,19021953085
182,21839924298,182,19062130738
183,21839924298,183,19131470838
184,21839924298,184,18928585106
185,21839924298,185,18993287625
186,21839924298,186,19029045820
187,21839924298,187,18966765557
188,21839924298,188,19206329312
189,21839924298,189,19015519449
190,21839924298,190,19073863173
191,21839924298,191,19080860176
192,21839924298,192,19087146699
193,21839924298,193,19218054790
194,21839924298,194,19095646223
195,21839924298,195,19059968931
196,21839924298,196,18953065384
197,21839924298,197,18910493631
198,21839924298,198,19024950953
199,21839924298,199,19064514917
200,21839924298,200,19060924191
201,21839924298,201,19085886062
202,21839924298,202,19141461931
203,21839924298,203,19118033179
204,21839924298,204,19121033590
205,21839924298,205,18999134657
206,21839924298,206,19146590017
207,21839924298,207,19138448565
208,21839924298,208,19113768030
209,21839924298,209,19014771914
210,21839924298,210,19054922017
211,21839924298,211,19139457455
212,21839924298,212,19042397980
213,21839924298,213,19076042007
214,21839924298,214,19064383425
215,21839924298,215,19301155951
216,21839924298,216,19077849102
217,21839924298,217,19080882616
218,21839924298,218,19181132130
219,21839924298,219,19034185689
220,21839924298,220,19007014840
221,21839924298,221,19051348308
222,21839924298,222,19093236129
223,21839924298,223,19079848512
224,21839924298,224,19074210701
225,21839924298,225,19174984850
226,21839924298,226,19134666830
227,21839924298,227,18979528221
228,21839924298,228,19083286384
229,21839924298,229,19143978766
230,21839924298,230,19056909010
231,21839924298,231,19154400380
232,21839924298,232,18887909946
233,21839924298,233,19114267464
234,21839924298,234,19022857665
235,21839924298,235,19092131151
236,21839924298,236,19080375260
237,21839924298,237,19058907739
238,21839924298,238,19101336355
239,21839924298,239,19117509487
240,21839924298,240,19073830506
241,21839924298,241,19026923279
242,21839924298,242,19049650874
243,21839924298,243,19040579037
244,21839924298,244,19075449506
245,21839924298,245,19031183637
246,21839924298,246,19185616296
247,21839924298,247,19120148535
248,21839924298,248,19063887886
249,21839924298,249,19205603592
250,21839924298,250,19051623946
251,21839924298,251,18991095623
252,21839924298,252,19089815716
253,21839924298,253,19067276256
254,21839924298,254,19145006899
255,21839924298,255,19078305130
256,21839924298,256,19088973893
257,21839924298,257,18990325480
258,21839924298,258,19007938387
259,21839924298,259,19086953123
260,21839924298,260,19115731851
261,21839924298,261,19008447833
262,21839924298,262,19135855972
263,21839924298,263,18964827305
264,21839924298,264,19137951829
265,21839924298,265,19129013345
266,21839924298,266,19083683124
267,21839924298,267,18972077341
268,21839924298,268,19031366381
269,21839924298,269,19007055187
270,21839924298,270,19175473408
271,21839924298,271,19046050758
272,21839924298,272,18932131256
273,21839924298,273,19088590359
274,21839924298,274,18981171692
275,21839924298,275,19205553677
276,21839924298,276,19039427914
