世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,0
29,0,29,0
30,0,30,0
31,0,31,0
32,0,32,0
33,16656133945,33,1665613
34,16656133945,34,4845783
35,16656133945,35,12855990
36,16979745305,36,29759853
37,17412240637,37,69416106
38,17558682401,38,179002111
39,18057557324,39,515547380
40,18688084590,40,2090341318
41,18921872069,41,9380281352
42,20010115613,42,14607250705
43,20512227098,43,14728517356
44,21398299796,44,14729829017
45,21892457178,45,15052767808
46,22426419938,46,15443944458
47,23142554979,47,15811978935
48,23772991727,48,16130194729
49,24105633797,49,16407453604
50,24688947519,50,17151686091
51,25000329744,51,17577937468
52,25246996569,52,17705813147
53,25246996569,53,17937315295
54,25472538838,54,18466939219
55,25613586160,55,20016189910
56,25613586160,56,19382312042
57,25736341005,57,19253295023
58,25920781554,58,19855428078
59,25920781554,59,21102987453
60,26084000454,60,22202141698
61,26084000454,61,21737893119
62,26084000454,62,20997012555
63,26084000454,63,21600417695
64,26084000454,64,24685737405
65,26084000454,65,25295396177
66,26084000454,66,25325255620
67,26084000454,67,25399540028
68,26084000454,68,25303539711
69,26084000454,69,25385748544
70,26084000454,70,25348595041
71,26084000454,71,25323488414
72,26084000454,72,25357580953
73,26084000454,73,25367498312
74,26084000454,74,25422310278
75,26084000454,75,25291050127
76,26084000454,76,25328712479
77,26084000454,77,25305495595
78,26084000454,78,25281377382
79,26084000454,79,25372431211
80,26084000454,80,25274399419
81,26084000454,81,25404980853
82,26084000454,82,25342131411
83,26084000454,83,25257082702
84,26084000454,84,25300137183
85,26084000454,85,25338023486
86,26084000454,86,25320675109
87,26084000454,87,25293621660
88,26084000454,88,25302306171
89,26084000454,89,25297130247
90,26084000454,90,25308129761
91,26084000454,91,25391050674
92,26084000454,92,25390173001
93,26084000454,93,25326098782
94,26084000454,94,25377045714
95,26084000454,95,25348161798
96,26084000454,96,25338919315
97,26084000454,97,25358586766
98,26084000454,98,25377409874
99,26084000454,99,25309916194
100,26084000454,100,25327532420
101,26084000454,101,25359490531
102,26084000454,102,25315564742
103,26084000454,103,25410480769
104,26084000454,104,25402021009
105,26084000454,105,25323897736
106,26084000454,106,25340292026
107,26084000454,107,25353650088
108,26084000454,108,25332102290
109,26084000454,109,25316886249
110,26084000454,110,25378376228
111,26084000454,111,25316529412
112,26084000454,112,25323047769
113,26084000454,113,25301344534
114,26084000454,114,25344028945
115,26084000454,115,25333316168
116,26084000454,116,25308527657
117,26084000454,117,25290655987
118,26084000454,118,25330053546
119,26084000454,119,25368430741
120,26084000454,120,25346425506
121,26084000454,121,25396014867
122,26084000454,122,25351212039
123,26084000454,123,25362346796
124,26084000454,124,25304599104
125,26084000454,125,25333641727
126,26084000454,126,25245941537
127,26084000454,127,25263333502
128,26084000454,128,25360461301
129,26084000454,129,25324698091
130,26084000454,130,25344013237
131,26084000454,131,25293645569
132,26084000454,132,25321921085
133,26084000454,133,25318141562
134,26084000454,134,25337039683
135,26084000454,135,25288202406
136,26084000454,136,25376781723
137,26084000454,137,25389125045
138,26084000454,138,25445694344
139,26084000454,139,25331198747
140,26084000454,140,25356044291
141,26084000454,141,25285079789
142,26084000454,142,25414357284
143,26084000454,143,25328916120
144,26084000454,144,25286248781
145,26084000454,145,25301215347
146,26084000454,146,25323173655
147,26084000454,147,25365577810
148,26084000454,148,25301671671
149,26084000454,149,25373207432
150,26084000454,150,25320562211
151,26084000454,151,25301086968
152,26084000454,152,25274833030
153,26084000454,153,25340239599
154,26084000454,154,25304184875
155,26084000454,155,25309094644
156,26084000454,156,25407901809
157,26084000454,157,25394885521
158,26084000454,158,25324102682
159,26084000454,159,25313959068
160,26084000454,160,25394669720
161,26084000454,161,25344794475
162,26084000454,162,25328487214
163,26084000454,163,25303356069
164,26084000454,164,25381261628
165,26084000454,165,25332978856
166,26084000454,166,25315762117
167,26084000454,167,25364208247
168,26084000454,168,25282892935
169,26084000454,169,25359691666
170,26084000454,170,25376843080
171,26084000454,171,25299225752
172,26084000454,172,25301878539
173,26084000454,173,25334671676
174,26084000454,174,25410190833
175,26084000454,175,25370615792
176,26084000454,176,25279654043
177,26084000454,177,25250338261
178,26084000454,178,25318246382
179,26084000454,179,25351413693
180,26084000454,180,25305783298
181,26084000454,181,25335152046
182,26084000454,182,25331037783
183,26084000454,183,25433453372
184,26084000454,184,25346217091
185,26084000454,185,25277003100
186,26084000454,186,25289638264
187,26084000454,187,25352233265
188,26084000454,188,25351710274
189,26084000454,189,25312211598
190,26084000454,190,25300053386
191,26084000454,191,25354738333
192,26084000454,192,25282070837
193,26084000454,193,25310316964
194,26084000454,194,25292997025
195,26084000454,195,25332005345
196,26084000454,196,25309046271
197,26084000454,197,25334492873
198,26084000454,198,25398770079
199,26084000454,199,25363772289
200,26084000454,200,25218258451
201,26084000454,201,25326257266
202,26084000454,202,25299687188
203,26084000454,203,25412104232
204,26084000454,204,25302098099
205,26084000454,205,25358520045
206,26084000454,206,25251811144
207,26084000454,207,25413270068
208,26084000454,208,25330128877
209,26084000454,209,25332168245
210,26084000454,210,25288326334
211,26084000454,211,25379619388
212,26084000454,212,25366108588
213,26084000454,213,25376612884
214,26084000454,214,25364905520
215,26084000454,215,25299578905
216,26084000454,216,25297513479
217,26084000454,217,25366283718
218,26084000454,218,25311721256
219,26084000454,219,25335390031
220,26084000454,220,25382790953
221,26084000454,221,25372717529
222,26084000454,222,25339965628
223,26084000454,223,25357544343
224,26084000454,224,25314359161
225,26084000454,225,25268117687
226,26084000454,226,25316012518
227,26084000454,227,25366081266
228,26084000454,228,25366983693
229,26084000454,229,25286194757
230,26084000454,230,25329453726
231,26084000454,231,25279612560
232,26084000454,232,25324111020
233,26084000454,233,25286307419
234,26084000454,234,25305831617
235,26084000454,235,25368838618
236,26084000454,236,25355059520
237,26084000454,237,25422218929
238,26084000454,238,25296561477
239,26084000454,239,25296184287
240,26084000454,240,25273285935
241,26084000454,241,25343403064
242,26084000454,242,25356239867
243,26084000454,243,25310486446
244,26084000454,244,25317643995
245,26084000454,245,25337822403
246,26084000454,246,25282517948
247,26084000454,247,25356918028
248,26084000454,248,25281855822
249,26084000454,249,25412397672
250,26084000454,250,25324640102
251,26084000454,251,25332213057
252,26084000454,252,25265868207
253,26084000454,253,25301910538
254,26084000454,254,25357127514
255,26084000454,255,25347415161
256,26084000454,256,25350342872
257,26084000454,257,25350011734
258,26084000454,258,25257663232
259,26084000454,259,25384400848
260,26084000454,260,25349556329
261,26084000454,261,25330479579
262,26084000454,262,25327850959
263,26084000454,263,25369109310
264,26084000454,264,25268575954
265,26084000454,265,25412748164
266,26084000454,266,25338250370
267,26084000454,267,25333450035
268,26084000454,268,25330938554
269,26084000454,269,25340123431
