世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,16628024138,11,11639616
12,16628024138,12,15460385436
13,17466069263,13,15526765697
14,17466069263,14,15484035381
15,17466069263,15,15455249319
16,17466069263,16,15482343381
17,17466069263,17,15335103098
18,17466069263,18,15394324880
19,17466069263,19,15367799284
20,17466069263,20,15417074256
21,17466069263,21,15355006302
22,18079132725,22,15338208188
23,18079132725,23,15319267138
24,18079132725,24,15352352474
25,18079132725,25,15334855825
26,18079132725,26,15317619432
27,18079132725,27,15315895365
28,18079132725,28,15275067433
29,18384304736,29,15300964560
30,18447374263,30,15327942557
31,18447374263,31,15236029785
32,18447374263,32,15237297654
33,18447374263,33,15272533023
34,18447374263,34,15246957997
35,18787100744,35,15230085359
36,18787100744,36,15204173811
37,18787100744,37,15270777240
38,18787100744,38,15275052770
39,18787100744,39,15230225184
40,18787100744,40,15258435276
41,18787100744,41,15170279463
42,18787100744,42,15219344042
43,18787100744,43,15187844362
44,18787100744,44,15186973305
45,19098446313,45,15147198834
46,19098446313,46,15189883663
47,19098446313,47,15220031823
48,19098446313,48,15181366142
49,19098446313,49,15084686787
50,19098446313,50,15141988648
51,19098446313,51,15213616601
52,19466687851,52,15141255627
53,19466687851,53,15116187723
54,19466687851,54,15107549263
55,19466687851,55,15127212222
56,19466687851,56,15071540635
57,19466687851,57,15143716770
58,19466687851,58,15030135472
59,19466687851,59,15059968906
60,19466687851,60,15149065677
61,19466687851,61,15129803894
62,19765856690,62,15107013515
63,19765856690,63,15163363414
64,19765856690,64,15098143328
65,20038512985,65,15077674309
66,20038512985,66,15146835842
67,20038512985,67,15253170680
68,20038512985,68,15113193991
69,20038512985,69,15130050597
70,20038512985,70,15167537074
71,20038512985,71,15207176309
72,20038512985,72,15234225712
73,20038512985,73,15216352975
74,20038512985,74,15211404600
75,20038512985,75,15267907990
76,20038512985,76,15329774656
77,20038512985,77,15327672741
78,20038512985,78,15255535065
79,20108838498,79,15275969395
80,20108838498,80,15489381469
81,20108838498,81,15380753760
82,20373394110,82,15440636834
83,20373394110,83,15540865414
84,20373394110,84,15486909882
85,20373394110,85,15594299751
86,20373394110,86,15627290520
87,20373394110,87,15725380565
88,20373394110,88,15679574394
89,20373394110,89,15701346467
90,20501606436,90,15823502298
91,20501606436,91,15822033282
92,20501606436,92,15842825528
93,20660432770,93,15828280928
94,20660432770,94,15944724573
95,20660432770,95,15888482669
96,21028674308,96,16001615809
97,21028674308,97,15910656750
98,21028674308,98,15965984784
99,21028674308,99,15949987196
100,21028674308,100,15953342137
101,21124787153,101,16012787898
102,21168053283,102,16076459028
103,21168053283,103,16109514399
104,21168053283,104,16148307693
105,21168053283,105,16106844079
106,21168053283,106,16154155409
107,21168053283,107,16181772743
108,21168053283,108,16189222495
109,21168053283,109,16208131490
110,21168053283,110,16184662138
111,21168053283,111,16289392732
112,21168053283,112,16313446693
113,21168053283,113,16388732057
114,21168053283,114,16398614202
115,21722271579,115,16431839103
116,21722271579,116,16395721235
117,21722271579,117,16480292643
118,21722271579,118,16481660904
119,21722271579,119,16476758486
120,21741362287,120,16538411234
121,21741362287,121,16516827039
122,21741362287,122,16505504018
123,21741362287,123,16583708550
124,21741362287,124,16580182097
125,21741362287,125,16577688692
126,21799044483,126,16565395034
127,21799044483,127,16634719523
128,21799044483,128,16656420809
129,21799044483,129,16642889903
130,21799044483,130,16723207228
131,21799044483,131,16726428102
132,21799044483,132,16794079896
133,21883400853,133,16823425355
134,22420556872,134,16834356145
135,22420556872,135,16884690491
136,22420556872,136,16917129515
137,22420556872,137,16816240225
138,22420556872,138,16994601883
139,22420556872,139,16970355390
140,22420556872,140,16970161114
141,22420556872,141,17081568763
142,22420556872,142,17046405789
143,22420556872,143,17084381392
144,22420556872,144,17164730393
145,22420556872,145,17140758174
146,22420556872,146,17167626005
147,22420556872,147,17234625885
148,22420556872,148,17262607333
149,22420556872,149,17293788339
150,22420556872,150,17216963119
151,22499967727,151,17261005801
152,22499967727,152,17299985200
153,22499967727,153,17339804658
154,22541836295,154,17374990003
155,22541836295,155,17411902418
156,22541836295,156,17400780379
157,22571175960,157,17518573790
158,22571175960,158,17387143890
159,22687176106,159,17489468184
160,22687176106,160,17513492457
161,22687176106,161,17467792414
162,22875357717,162,17618534650
163,22875357717,163,17551274251
164,22875357717,164,17570135047
165,22875357717,165,17659435926
166,22875357717,166,17720217743
167,22982754730,167,17749226066
168,22982754730,168,17753641977
169,23201386940,169,17845309190
170,23635894763,170,17839542399
171,23635894763,171,17932268565
172,23738861422,172,17812757956
173,23738861422,173,17931412348
174,23738861422,174,17975752439
175,23738861422,175,17963591772
176,23738861422,176,18044777326
177,23738861422,177,18106742681
178,23738861422,178,18116068518
179,23778258140,179,18222288776
180,23778258140,180,18169869369
181,23778258140,181,18130257589
182,23823567506,182,18290527066
183,23823567506,183,18212191942
184,23823567506,184,18306228909
185,23823567506,185,18257701829
186,23823567506,186,18334842635
187,23867986128,187,18356977854
188,23867986128,188,18385157654
189,23867986128,189,18407653599
190,23867986128,190,18419880326
191,23867986128,191,18446100398
192,23867986128,192,18414615195
193,23867986128,193,18451623172
194,23867986128,194,18515474188
195,23867986128,195,18589637169
196,23867986128,196,18579739072
197,23867986128,197,18644103932
198,23867986128,198,18608892747
199,23867986128,199,18758444948
200,23867986128,200,18755036093
201,23938259622,201,18719280430
202,24103200083,202,18800131609
203,24103200083,203,18824573670
204,24103200083,204,18831482550
205,24103200083,205,18904232565
206,24103200083,206,18861145804
207,24103200083,207,18903090000
208,24451475142,208,18877547777
209,24451475142,209,19009453879
210,24451475142,210,19003781681
211,24451475142,211,19006160494
212,24451475142,212,18985048330
213,24451475142,213,18980259491
214,24451475142,214,19040485245
215,24457766917,215,19091711818
216,24457766917,216,19061727054
217,24461690107,217,19093919032
218,24461690107,218,19099504072
219,24461690107,219,19142468648
220,24461690107,220,19214006403
221,24461690107,221,19207189459
222,24461690107,222,19250645321
223,24461690107,223,19208194955
224,24562791019,224,19253941291
225,24562791019,225,19274248575
226,24562791019,226,19283228940
227,24562791019,227,19341843407
228,24562791019,228,19395012814
229,24562791019,229,19408742103
230,24562791019,230,19443396427
231,24562791019,231,19423780141
232,24734618948,232,19428128851
233,24734618948,233,19548803469
234,24734618948,234,19432162876
235,24734618948,235,19540871555
236,24734618948,236,19544700503
237,24734618948,237,19537442342
238,24734618948,238,19544680011
239,24767822810,239,19597092469
240,24999349113,240,19618179148
241,24999349113,241,19603956258
242,24999349113,242,19705922142
243,24999349113,243,19641752394
244,24999349113,244,19618919708
245,24999349113,245,19712397205
246,24999349113,246,19749323250
247,24999349113,247,19703933438
248,24999349113,248,19783762176
249,24999349113,249,19786701040
250,24999349113,250,19787308624
251,24999349113,251,19807991531
252,24999349113,252,19747411972
253,24999349113,253,19802134866
254,24999349113,254,19882751732
255,24999349113,255,19905036793
256,24999349113,256,19841785689
257,25159825085,257,19811890495
258,25234266970,258,19844174436
259,25234266970,259,19829061760
260,25234266970,260,19907118244
