世代,価値最大値,世代,価値平均
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,0
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,11968235847,28,1196823
29,15204114871,29,272040598
30,16517630787,30,11092019959
31,17556942687,31,13928283817
32,18478100299,32,15952777469
33,19309994771,33,16357130289
34,19998655958,34,18460336230
35,20095757230,35,19378594325
36,20095757230,36,19416820553
37,20095757230,37,19440830521
38,20095757230,38,19456003399
39,20095757230,39,19434526096
40,20095757230,40,19481942785
41,20095757230,41,19450523460
42,20095757230,42,19414090610
43,20095757230,43,19450911529
44,20095757230,44,19410191321
45,20095757230,45,19513407693
46,20095757230,46,19428407055
47,20095757230,47,19504570373
48,20095757230,48,19417232442
49,20095757230,49,19494671624
50,20095757230,50,19486665502
51,20095757230,51,19514763984
52,20095757230,52,19408939401
53,20095757230,53,19548046583
54,20095757230,54,19421737366
55,20095757230,55,19447410377
56,20095757230,56,19417916918
57,20095757230,57,19456615920
58,20095757230,58,19480403741
59,20095757230,59,19454940653
60,20095757230,60,19340348650
61,20095757230,61,19384529026
62,20095757230,62,19440156333
63,20095757230,63,19429688624
64,20095757230,64,19478534572
65,20095757230,65,19420704287
66,20095757230,66,19372727913
67,20095757230,67,19390439318
68,20095757230,68,19471638181
69,20095757230,69,19403305338
70,20095757230,70,19464190259
71,20095757230,71,19427579746
72,20095757230,72,19389572476
73,20095757230,73,19468840753
74,20095757230,74,19487961066
75,20095757230,75,19467809861
76,20095757230,76,19396480808
77,20095757230,77,19401875310
78,20095757230,78,19423427358
79,20095757230,79,19432851935
80,20095757230,80,19444754609
81,20095757230,81,19407698049
82,20095757230,82,19495115482
83,20095757230,83,19361665317
84,20095757230,84,19466590703
85,20095757230,85,19438669336
86,20095757230,86,19405870397
87,20095757230,87,19454075355
88,20095757230,88,19407154842
89,20095757230,89,19377018604
90,20095757230,90,19417227678
91,20095757230,91,19518128843
92,20095757230,92,19478859938
93,20095757230,93,19456560703
94,20095757230,94,19414319958
95,20095757230,95,19460278151
96,20095757230,96,19532969553
97,20095757230,97,19480657230
98,20095757230,98,19477302690
99,20095757230,99,19414823535
100,20095757230,100,19418738840
101,20095757230,101,19452070302
102,20095757230,102,19457223474
103,20095757230,103,19412106055
104,20095757230,104,19473492813
105,20095757230,105,19424344601
106,20095757230,106,19483619410
107,20095757230,107,19484972374
108,20095757230,108,19433004514
109,20095757230,109,19450864058
110,20095757230,110,19423926843
111,20095757230,111,19451135881
112,20095757230,112,19416650848
113,20095757230,113,19396047083
114,20095757230,114,19460725475
115,20095757230,115,19476816174
116,20095757230,116,19515643992
117,20095757230,117,19503942833
118,20095757230,118,19371698976
119,20095757230,119,19470997426
120,20095757230,120,19382213380
121,20095757230,121,19399138164
122,20095757230,122,19449909547
123,20095757230,123,19358177061
124,20095757230,124,19433268158
125,20095757230,125,19410223565
126,20095757230,126,19375755093
127,20095757230,127,19455767269
128,20095757230,128,19448031112
129,20095757230,129,19463637125
130,20095757230,130,19492013207
131,20095757230,131,19456891881
132,20095757230,132,19480247877
133,20095757230,133,19458125300
134,20095757230,134,19413052043
135,20095757230,135,19434116591
136,20095757230,136,19382506865
137,20095757230,137,19441150084
138,20095757230,138,19444839687
139,20095757230,139,19431009707
140,20095757230,140,19441381476
141,20095757230,141,19418115687
142,20095757230,142,19386485275
143,20095757230,143,19494842676
144,20095757230,144,19419869783
145,20095757230,145,19440568047
146,20095757230,146,19451151915
147,20095757230,147,19456787101
148,20095757230,148,19458855098
149,20095757230,149,19427298845
150,20095757230,150,19428682863
151,20095757230,151,19434287424
152,20095757230,152,19435804917
153,20095757230,153,19474785352
154,20095757230,154,19475967089
155,20095757230,155,19480444280
156,20095757230,156,19428585205
157,20095757230,157,19456317282
158,20095757230,158,19533311207
159,20095757230,159,19417897156
160,20095757230,160,19370502389
161,20095757230,161,19437775383
162,20095757230,162,19406398590
163,20095757230,163,19445380821
164,20095757230,164,19450092077
165,20095757230,165,19451995452
166,20095757230,166,19454762519
167,20095757230,167,19490468268
168,20095757230,168,19458041364
169,20095757230,169,19457668831
170,20095757230,170,19436706832
171,20095757230,171,19437231937
172,20095757230,172,19471410481
173,20095757230,173,19464878053
174,20095757230,174,19456381402
175,20095757230,175,19448267145
176,20095757230,176,19452082565
177,20095757230,177,19405099082
178,20095757230,178,19541510251
179,20095757230,179,19456149535
180,20095757230,180,19478585415
181,20095757230,181,19431468108
182,20095757230,182,19452377011
183,20095757230,183,19476182193
184,20095757230,184,19428040779
185,20095757230,185,19372643498
186,20095757230,186,19466271007
187,20095757230,187,19409228747
188,20095757230,188,19489340204
189,20095757230,189,19452702769
190,20095757230,190,19378911471
191,20095757230,191,19421990859
192,20095757230,192,19424177075
193,20095757230,193,19377701450
194,20095757230,194,19478997574
195,20095757230,195,19493997567
196,20095757230,196,19364770129
197,20095757230,197,19417724287
198,20095757230,198,19451247449
199,20095757230,199,19450691857
200,20095757230,200,19353948084
201,20095757230,201,19358903444
202,20095757230,202,19452223929
203,20095757230,203,19356555234
204,20095757230,204,19461156454
205,20095757230,205,19409773964
206,20095757230,206,19492154892
207,20095757230,207,19404728558
208,20095757230,208,19510776173
209,20095757230,209,19425234527
210,20095757230,210,19395483468
211,20095757230,211,19430727494
212,20095757230,212,19445749936
213,20095757230,213,19404964043
214,20095757230,214,19384692474
215,20095757230,215,19409482149
216,20095757230,216,19494978280
217,20095757230,217,19435674178
218,20095757230,218,19434949725
219,20095757230,219,19408611605
220,20095757230,220,19445446005
221,20095757230,221,19469810497
222,20095757230,222,19442313724
223,20095757230,223,19409161447
224,20095757230,224,19364314152
225,20095757230,225,19405765006
226,20095757230,226,19436529029
227,20095757230,227,19413987522
228,20095757230,228,19404411888
229,20095757230,229,19410822239
230,20095757230,230,19455512577
231,20095757230,231,19428572150
232,20095757230,232,19422894823
233,20095757230,233,19403554068
234,20095757230,234,19420830709
235,20095757230,235,19444340282
236,20095757230,236,19408896113
237,20095757230,237,19453867087
238,20095757230,238,19418963269
239,20095757230,239,19503711552
240,20095757230,240,19445181314
241,20095757230,241,19429649742
242,20095757230,242,19483634224
243,20095757230,243,19461760062
244,20095757230,244,19458316459
245,20095757230,245,19435936511
246,20095757230,246,19435826415
247,20095757230,247,19420787631
248,20095757230,248,19436231128
249,20095757230,249,19394124803
250,20095757230,250,19404322618
251,20095757230,251,19399325217
252,20095757230,252,19420672128
253,20095757230,253,19432219871
254,20095757230,254,19431440476
255,20095757230,255,19465486617
256,20095757230,256,19456399320
257,20095757230,257,19415963863
258,20095757230,258,19363243532
259,20095757230,259,19387309504
260,20095757230,260,19425094123
261,20095757230,261,19407188201
262,20095757230,262,19413009542
263,20095757230,263,19480664323
264,20095757230,264,19446610829
265,20095757230,265,19430450321
266,20095757230,266,19414925372
267,20095757230,267,19467313900
